Datos de Termopar tipo B. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
5.947, 1117.0
5.956, 1118.0
5.966, 1119.0
5.976, 1120.0
5.986, 1121.0
5.996, 1122.0
6.006, 1123.0
6.016, 1124.0
6.026, 1125.0
6.036, 1126.0
6.046, 1127.0
6.055, 1128.0
6.065, 1129.0
6.075, 1130.0
6.085, 1131.0
6.095, 1132.0
6.105, 1133.0
6.115, 1134.0
6.125, 1135.0
6.135, 1136.0
6.145, 1137.0
6.155, 1138.0
6.165, 1139.0
6.175, 1140.0
6.185, 1141.0
6.195, 1142.0
6.205, 1143.0
6.215, 1144.0
6.225, 1145.0
6.235, 1146.0
6.245, 1147.0
6.256, 1148.0
6.266, 1149.0
6.276, 1150.0
6.286, 1151.0
6.296, 1152.0
6.306, 1153.0
6.316, 1154.0
6.326, 1155.0
6.336, 1156.0
6.346, 1157.0
6.356, 1158.0
6.367, 1159.0
6.377, 1160.0
6.387, 1161.0
6.397, 1162.0
6.407, 1163.0
6.417, 1164.0
6.427, 1165.0
6.438, 1166.0
6.448, 1167.0
6.458, 1168.0
6.468, 1169.0
6.478, 1170.0
6.488, 1171.0
6.499, 1172.0
6.509, 1173.0
6.519, 1174.0
6.529, 1175.0
6.539, 1176.0
6.550, 1177.0
6.560, 1178.0
6.570, 1179.0
6.580, 1180.0
6.591, 1181.0
6.601, 1182.0
6.611, 1183.0
6.621, 1184.0
6.632, 1185.0
6.642, 1186.0
6.652, 1187.0
6.663, 1188.0
6.673, 1189.0
6.683, 1190.0
6.693, 1191.0
6.704, 1192.0
6.714, 1193.0
6.724, 1194.0
6.735, 1195.0
6.745, 1196.0
6.755, 1197.0
6.766, 1198.0
6.776, 1199.0
6.786, 1200.0
6.797, 1201.0
6.807, 1202.0
6.818, 1203.0
6.828, 1204.0
6.838, 1205.0
6.849, 1206.0
6.859, 1207.0
6.869, 1208.0
6.880, 1209.0
6.890, 1210.0
6.901, 1211.0
6.911, 1212.0
6.922, 1213.0
6.932, 1214.0
6.942, 1215.0
6.953, 1216.0
6.963, 1217.0
6.974, 1218.0
6.984, 1219.0
6.995, 1220.0
7.005, 1221.0
7.016, 1222.0
7.026, 1223.0
7.037, 1224.0
7.047, 1225.0
7.058, 1226.0
7.068, 1227.0
7.079, 1228.0
7.089, 1229.0
7.100, 1230.0
7.110, 1231.0
7.121, 1232.0
7.131, 1233.0
7.142, 1234.0
7.152, 1235.0
7.163, 1236.0
7.173, 1237.0
7.184, 1238.0
7.194, 1239.0
7.205, 1240.0
7.216, 1241.0
7.226, 1242.0
7.237, 1243.0
7.247, 1244.0
7.258, 1245.0
7.269, 1246.0
7.279, 1247.0
7.290, 1248.0
7.300, 1249.0
7.311, 1250.0
7.322, 1251.0
7.332, 1252.0
7.343, 1253.0
7.353, 1254.0
7.364, 1255.0
7.375, 1256.0
7.385, 1257.0
7.396, 1258.0
7.407, 1259.0
7.417, 1260.0
7.428, 1261.0
7.439, 1262.0
7.449, 1263.0
7.460, 1264.0
7.471, 1265.0
7.482, 1266.0
7.492, 1267.0
7.503, 1268.0
7.514, 1269.0
7.524, 1270.0
7.535, 1271.0
7.546, 1272.0
7.557, 1273.0
7.567, 1274.0
7.578, 1275.0
7.589, 1276.0
7.600, 1277.0
7.610, 1278.0
7.621, 1279.0
7.632, 1280.0
7.643, 1281.0
7.653, 1282.0
7.664, 1283.0
7.675, 1284.0
7.686, 1285.0
7.697, 1286.0
7.707, 1287.0
7.718, 1288.0
7.729, 1289.0
7.740, 1290.0
7.751, 1291.0
7.761, 1292.0
7.772, 1293.0
7.783, 1294.0
7.794, 1295.0
7.805, 1296.0
7.816, 1297.0
7.827, 1298.0
7.837, 1299.0
7.848, 1300.0
7.859, 1301.0
7.870, 1302.0
7.881, 1303.0
7.892, 1304.0
7.903, 1305.0
7.914, 1306.0
7.924, 1307.0
7.935, 1308.0
7.946, 1309.0
7.957, 1310.0
7.968, 1311.0
7.979, 1312.0
7.990, 1313.0
8.001, 1314.0
8.012, 1315.0
8.023, 1316.0
8.034, 1317.0
8.045, 1318.0
8.056, 1319.0
8.066, 1320.0
8.077, 1321.0
8.088, 1322.0
8.099, 1323.0
8.110, 1324.0
8.121, 1325.0
8.132, 1326.0
8.143, 1327.0
8.154, 1328.0
8.165, 1329.0
8.176, 1330.0
8.187, 1331.0
8.198, 1332.0
8.209, 1333.0
8.220, 1334.0
8.231, 1335.0
8.242, 1336.0
8.253, 1337.0
8.264, 1338.0
8.275, 1339.0
8.286, 1340.0
8.298, 1341.0
8.309, 1342.0
8.320, 1343.0
8.331, 1344.0
8.342, 1345.0
8.353, 1346.0
8.364, 1347.0
8.375, 1348.0
8.386, 1349.0
8.397, 1350.0
8.408, 1351.0
8.419, 1352.0
8.430, 1353.0
8.441, 1354.0
8.453, 1355.0
8.464, 1356.0
8.475, 1357.0
8.486, 1358.0
8.497, 1359.0
8.508, 1360.0
8.519, 1361.0
8.530, 1362.0
8.542, 1363.0
8.553, 1364.0
8.564, 1365.0
8.575, 1366.0
8.586, 1367.0
8.597, 1368.0
8.608, 1369.0
8.620, 1370.0
8.631, 1371.0
8.642, 1372.0
8.653, 1373.0
8.664, 1374.0
8.675, 1375.0
8.687, 1376.0
8.698, 1377.0
8.709, 1378.0
8.720, 1379.0
8.731, 1380.0
8.743, 1381.0
8.754, 1382.0
8.765, 1383.0
8.776, 1384.0
8.787, 1385.0
8.799, 1386.0
8.810, 1387.0
8.821, 1388.0
8.832, 1389.0
8.844, 1390.0
8.855, 1391.0
8.866, 1392.0
8.877, 1393.0
8.889, 1394.0
8.900, 1395.0
8.911, 1396.0
8.922, 1397.0
8.934, 1398.0
8.945, 1399.0
8.956, 1400.0
8.967, 1401.0
8.979, 1402.0
8.990, 1403.0
9.001, 1404.0
9.013, 1405.0
9.024, 1406.0
9.035, 1407.0
9.047, 1408.0
9.058, 1409.0
9.069, 1410.0
9.080, 1411.0
9.092, 1412.0
9.103, 1413.0
9.114, 1414.0
9.126, 1415.0
9.137, 1416.0
9.148, 1417.0
9.160, 1418.0
9.171, 1419.0
9.182, 1420.0
9.194, 1421.0
9.205, 1422.0
9.216, 1423.0
9.228, 1424.0
9.239, 1425.0
9.251, 1426.0
9.262, 1427.0
9.273, 1428.0
9.285, 1429.0
9.296, 1430.0
9.307, 1431.0
9.319, 1432.0
9.330, 1433.0
9.342, 1434.0
9.353, 1435.0
9.364, 1436.0
9.376, 1437.0
9.387, 1438.0
9.398, 1439.0
9.410, 1440.0
9.421, 1441.0
9.433, 1442.0
9.444, 1443.0
9.456, 1444.0
9.467, 1445.0
9.478, 1446.0
9.490, 1447.0
9.501, 1448.0
9.513, 1449.0
9.524, 1450.0
9.536, 1451.0
9.547, 1452.0
9.558, 1453.0
9.570, 1454.0
9.581, 1455.0
9.593, 1456.0
9.604, 1457.0
9.616, 1458.0
9.627, 1459.0
9.639, 1460.0
9.650, 1461.0
